year,expenseCategory
2024,Pension
2024,Defence
2024,Subsidy- Fertiliser 
2024,Subsidy- Food 
2024,Subsidy-  Petroleum
2024,Agriculture and Allied Activities
2024,Commerce and Industry
2024,Development of North East
2024,Education
2024,Energy
2024,External Affairs
2024,Finance
2024,Health
2024,Home Affairs
2024,Interest
2024,IT and Telecom
2024,Others
2024,Planning and Statistics
2024,Rural Development
2024,Scientific Departments
2024,Social Welfare
2024,Tax Administration
2024,Transfer to States
2024,Transport
2024,Union Territories
2024,Urban Development
